Company,Website,Batch,Vertical,TeamSize,Hiring,OneLiner
Carrot Labs,https://superpenguin.ai/,Winter 2026,AI,2,,AI Cost Management: Track and attribute AI spend across every provider
Shofo,https://shofo.ai/,Winter 2026,AI,4,,The World's Largest Video Library
Illume Labs,https://www.illumelabs.ai,Summer 2026,AI,3,,24/7 Personal Health & Longevity Companion
Multiplier,https://multiplier.ai,Spring 2026,AI,3,,Agent harnesses for asset managers
Palette,https://palettelabs.com/,Summer 2026,AI,2,,An AI-Native Media Platform
Twolabs,https://www.twolabs.ai,Spring 2026,AI,2,,Humanoid robot platform for builders.
Zenbu,https://www.zenbu.dev/,Spring 2026,AI/DevTools,1,,The extensible IDE for coding agents
Light Anchor,https://lightanchor.ai,Spring 2026,AI,2,,AI-run consumer brands
GodHands,https://godhands.dev,Fall 2026,AI/DevTools,2,,The company knowledge base that updates itself
Superlog,https://superlog.sh/,Spring 2026,AI/DevTools,2,,Make software self-healing
Userlens,https://userlens.io,Spring 2026,AI,4,,Let agents talk to your customers
Kimpton,https://kimpton.ai,Spring 2026,AI,5,,Live Evaluation Arenas for Financial Work
Keyframe Labs,https://keyframelabs.com,Spring 2026,AI/DevTools,2,,Bring AI to life with the world's best interactive avatars
Degla Inc,https://degla.ai,Fall 2026,AI,2,,The fully autonomous intelligence layer in the sky.
Collar,https://usecollarai.com,Fall 2026,AI,2,,AI for Investor Relations and Equity Research
Armature,https://armature.tech,Spring 2026,AI,3,,We get your product picked by coding agents.
Pops,https://pops.fyi,Spring 2026,AI,1,,Create & play AI games with friends
Trident,https://tridentsecurity.io/,Summer 2026,AI,4,,Autonomous offensive security agents. The best defense is offense
Enjamb Labs,https://www.enjamb.ai,Spring 2026,AI,2,,The AI Workforce for Biopharma
rekursiv.ai,https://rekursiv.ai,Summer 2026,AI/ML,2,,Scale AI scientists whose own breakthroughs accelerate the next.
Amorphic Labs,https://www.agentmuxer.com,Summer 2026,AI,2,,OpenRouter for Agent Tools
Kebra,https://kebra.com,Summer 2026,AI,2,,Making the field queryable
Pango,https://pango.ai/,Summer 2026,AI,5,,Agentic OS for e-commerce operations
Donkey,https://donkey.trade,Summer 2026,AI,7,,"The AI-native trading company: factory prices, delivered, one number"
Erinys,https://erinys.ai,Summer 2026,AI,3,,We help lawyers start and scale AI-native law firms.
Perceptron ML,https://perceptronml.com,Summer 2026,AI,2,,We make law firms AI-native.
Olam Labs,https://olamlabs.ai,Summer 2026,AI,2,,Building multi-agent simulations for model evals and training.
Belvedir,https://belvedir.ai/,Summer 2026,AI/ML,1,,The easiest way to make custom AI models
Trope,https://trope.ai,Summer 2026,AI,2,,AI FDE that deploys custom AI agents into ERPs
Palisade,https://palisade.run,Summer 2026,AI,1,,AI-native sales agents that run marketplaces
Rex,https://www.rex.inc,Summer 2026,AI,2,,AI-native BPO for enterprise order-to-cash
Maingen,https://www.maingen.ai/,Summer 2026,AI,2,,Simulating Agents Running Industrial Companies
Studio,https://trystudio.ai,Summer 2026,AI,2,,Accurately simulate market response at scale
Orchestra,https://orchestra.ai/,Summer 2026,AI,2,,Self-optimizing neocloud that cuts LLM costs by 100x
Jcode,https://jcode.sh/,Summer 2026,AI/DevTools,1,,The harness company
IMPACT Drones,https://www.impact-drones.com,Summer 2026,AI,2,,Air Defense as a Service for Civilian Infrastructure.
GUILD,https://www.guildai.co,Summer 2026,AI,2,,AI-Native Defense Contractor
Riften,https://riften.ai,Summer 2026,AI/DevTools,,,Earned intelligence for every company
Bizmark,https://bizmark.ai,Summer 2026,AI,2,,OpenClaw for manufacturers
Mosaic,https://mosaic.inc,Summer 2026,AI,2,,Defining the frontier of multiplayer AI.
Mochi,https://www.mochi.tv/,Summer 2026,AI,3,,Watch and create anime
DeepReach Inc.,http://www.deepreach.ai,Summer 2026,AI/ML,6,,Network for Physical AI Data Business
COACH,https://www.getcoach.com/,Summer 2026,AI,4,,The AI Coach for in person sales reps.
Grocalo,https://grocalo.com/,Summer 2026,AI,2,,AI brain for creators that runs their social content
Audun,https://audun.co,Summer 2026,AI,5,,AI-native debt collection company
Touchmark,https://touchmark.ai,Summer 2026,AI,2,,Market for future inference capacity
Zaplar,https://zaplar.com,Summer 2026,AI,8,,Agentic Hotel Operating System
Rasyn,https://www.rasyn.ai/,Summer 2026,AI,3,,"Making chemicals 100,000x faster"
Alkera AI,https://alkera.ai,Summer 2026,AI/DevTools,3,,Reliable and safe data engineering and data science agents
Definite,https://www.usedefinite.com,Summer 2026,AI,3,,Build everyday back-office agents on one live model of your books
Traceforce,https://www.traceforce.ai,Summer 2026,AI,2,,CrowdStrike for AI Agents
Stratum Industries,https://stratumindustries.co/,Summer 2026,AI,2,,Applied AI for Governments.
Almanac,https://usealmanac.com,Summer 2026,AI,3,,The agent that knows your work absurdly well
Whitespace,https://whitespacehq.ai/,Summer 2026,AI,2,,AI Operating System for Wholesale Distribution
Click,https://www.useclick.ai,Summer 2026,AI,1,,Research services for ChatGPT and Claude
Akon Labs,https://akonlabs.com,Summer 2026,AI,2,,The Github For Coding Agents
Vendo,https://vendo.run/,Summer 2026,AI,2,,Let your users build their own features on top of your product
Fabraix,https://fabraix.com,Summer 2026,AI,2,,The world's frontier hacker of AI agents.
Qlo,https://www.getqlo.com/,Summer 2026,AI,2,,Legora for commercial insurance carriers
Tenor,https://heytenor.com/,Summer 2026,AI,3,,Infrastructure for building and scaling AI-native service businesses.
Risklytics,https://www.risklytics.ai/,Summer 2026,AI/ML,2,,AI-Native Insurance for Frontier Tech
Neuromorphic,https://www.neuromorphic.vision/,Summer 2026,AI,3,,Building robots to automate wetlabs
Arbital,https://www.arbital.xyz,Summer 2026,AI,3,,"The social trading app for stocks, memes, and perps"
Moving Atoms,https://movingatoms.ai/,Summer 2026,AI,2,,World Models for training robots
Ekho Labs,https://ekholabs.com/,Summer 2026,AI,,,World Model for Freight
Isengard Industries Inc,http://isengardindustries.com/,Summer 2026,AI,30,,Mass-produced AI strike systems and Counter-UAS
Denta,https://denta.com,Summer 2026,AI,1,,AI-Native Dental Insurance
Computable,https://getcomputable.com,Summer 2026,AI,2,,Derivatives Exchange for Compute
Financial Datasets,https://financialdatasets.ai/,Summer 2026,AI,1,,Connect your agent to the stock market 
Last Accounting Company,https://lastaccountingcompany.com/,Summer 2026,AI,4,,AI-native accounting firm.
Executor,https://executor.sh,Summer 2026,AI,1,,The open source tool gateway
Waybill,https://www.waybill.to/,Summer 2026,AI,5,,Agentic procurement & inventory for deep tech teams.
Marengo,https://marengox.com,Summer 2026,AI,5,,AI-Native Engineering Firm designing Data Centers 
Lumeria,https://lumeria.skin,Summer 2026,AI,3,,Oura Ring for Skin
Agnost AI,https://agnost.ai,Summer 2026,AI/ML/DevTools,2,,"We find where AI agents fail, then train better models to run them."
Axelrod,https://axelrod.live/,Summer 2026,AI,2,,Boutique Hotels that run themselves
Decawork,https://decawork.ai/,Summer 2026,AI,2,,Training company-specific models that approve AI actions.
Lamb Labs,http://lamb-labs.com,Summer 2026,AI,,,Lightning fast chips with hardcoded AI models
Skymerse,https://skymerse.com,Summer 2026,AI,,,Autopilot for Flight Operations
HyperProbe,https://hyperprobe.co,Summer 2026,AI/DevTools,8,,Data layer AI Agents call to fix production apps
TovenAI,https://toven.ai,Summer 2026,AI,2,,AI agents for compliance at institutional trading firms
Agent FM,https://www.agentfm.ai/,Summer 2026,AI/DevTools,2,,One group chat to hear and steer your coding agents.
PRINCEPS,https://princeps.dev,Summer 2026,AI/ML,2,,AI-native insurance company for the compute economy
Florin,https://florin.inc,Summer 2026,AI,3,,Florin is an AI-native insurance company that runs autonomously
Dawn Industries,https://www.dawnxr.com,Summer 2026,AI,2,,Automatic Diagnosis & Fix for Industrial Automation Cells
hiloop,https://hiloop.ai,Summer 2026,AI/ML/DevTools,2,,Autoresearch as a service: we solve your hardest measurable problems
Robocurve,https://robocurve.org,Summer 2026,AI,3,,Evals for robots
Allia Health,https://allia.health/,Summer 2026,AI,3,,First AI-Native Medical Group for Mental Health
Osseus,https://osseus.ai/,Summer 2026,AI,2,,The frontier data platform for health and biological AI
hardware intelligence,https://hardwareintelligence.ai,Summer 2026,AI/DevTools,2,,AI tools for the chips your AI runs on
Billow AI Labs,https://thebillow.ai/,Summer 2026,AI,,,AI-native Accounting Firm that's killing Deloitte
CoArena,http://coarena.ai,Summer 2026,AI/ML,2,,The biggest crowdsourced benchmark for Computer-Use
Experiential Labs,https://experientiallabs.ai,Summer 2026,AI,2,,Open source AI gateway that turns your traffic into a better model
Conifer,https://www.conifer.build,Summer 2026,AI/DevTools,4,,Least cost routing system to reduce 70%+ token spend
herdr,https://herdr.dev/,Fall 2026,AI/DevTools,1,,building the open agent runtime
Sentient OS,https://sentient-os.ai,Fall 2026,AI,2,,On-device AI that knows your entire life and does your work overnight.
Simulithic,https://simulithic.com,Fall 2026,AI,2,,Simulate how any product change will perform before shipping.
Qokedas,https://qokedas.com/,Fall 2026,AI,3,,Data for AI Science
Forward,https://www.useforward.co/,Fall 2026,AI,5,,Unifying Global Private Credit
Lantern AI,https://www.lantern.md,Fall 2026,AI,4,,Turn Your Taste Into Hires
Nodus Compute,https://www.nodus-compute.ai/,Fall 2026,AI,2,,Intelligent execution layer for AI workloads
Workers IO,https://workers.io,Fall 2026,AI/DevTools,2,,Deterministic Virtual Machines
Dreamscale Labs,https://dreamscalelabs.com,Fall 2026,AI,4,,Running robot brains in the cloud
Redoubt Insurance,https://www.redoubt.agency,Fall 2026,AI,,,Commercial insurance for small businesses
Velum Labs,https://www.velum-labs.com/,Winter 2026,ML,2,,The OS for data quality across any stack
Traverse,https://www.traverse.so,Winter 2026,ML,1,,Research lab solving non-verifiable work
Dream,https://www.pingdream.com/,Summer 2026,ML,2,,AI cameras that catch asset damage
Mentlio,https://mentlio.com,Summer 2026,ML/DevTools,,,Engineering Intelligence and Token Optimization for the AI-Coding Era
Lyon,https://lyon.so,Summer 2026,ML,2,,Foundation models on enterprise transaction data.
Tracer,https://tracerml.ai,Summer 2026,ML,1,,Combining open-source AI models for better answers at lower cost
Waddle Labs,https://www.waddlelabs.ai/,Summer 2026,DevTools,2,,LLMs that control robots
/dev/fast,https://dev.fast,Winter 2026,DevTools,4,,/dev/fast is the AI-native code forge
Skillsync,https://skillsync.com,Winter 2026,DevTools,2,,Notion for AI chats
Corelayer,https://www.corelayer.com,Winter 2026,DevTools,3,,AI production engineer for regulated industries
Inth,https://inth.com,Spring 2026,DevTools,3,,Monitor and fix product privacy issues before they block growth
Alchemize,https://tryalchemize.com,Spring 2026,DevTools,2,,Ship more code with confidence
Rindler,https://maxxwell.dev,Summer 2026,DevTools,2,,The IDE for Tokenmaxxers
GitCafe,https://git.cafe,Summer 2026,DevTools,2,,The Git forge for the next hundred billion commits
Hoplite,https://hoplite.sh,Summer 2026,DevTools,2,,Effortlessly deploy cloud software factories.
Prized,https://prized.dev,Summer 2026,DevTools,2,,A cloud devbox that feels local
Speko,https://speko.ai/?utm_source=ycombinator&utm_medium=profile,Summer 2026,DevTools,4,,"OpenRouter for Voice AI: one API, every call on the best speech model"
Codag,https://codag.ai/,Summer 2026,DevTools,1,,"The AI gateway for cheaper, faster, permissioned agents."
Agency Tool Company,https://agencytool.com,Summer 2026,DevTools,3,,"Reliable infrastructure to build, deploy and manage real-world robots."
machine0,https://machine0.io,Summer 2026,DevTools,1,,AWS for Agents
Graphify Labs,https://www.graphify.com/,Summer 2026,DevTools,1,,On-device Knowledge Graph engine for Enterprise Codebases 
Hilstart,https://hilstart.io/,Summer 2026,DevTools,,,Autonomous Hardware Testing
Inkbox,https://inkbox.ai,Summer 2026,DevTools,3,,The identity and communication layer for AI agents
Ascii,https://box.ascii.dev,Fall 2026,DevTools,3,,The best cloud VMs for billions of agents
Maritime,https://maritime.sh/,Fall 2026,DevTools,3,,The managed cloud for AI agents.
Stormy,https://stormy.ai,Summer 2025,AI,5,, Stormy runs the office so your crew can run the work.
Overstand Labs,https://overstandlabs.com,Winter 2025,AI,4,,Navigate any set of data - no matter how large - in minutes.
Quantstruct,https://quantstruct.com,Winter 2025,AI/DevTools,2,,AI documentation engineer – test & autoimprove stale product docs
Outship,https://outship.ai,Winter 2025,AI,3,,Hire amazing engineers by seeing how they use AI
Candor,https://www.usecandor.ai,Winter 2025,AI,2,,We help companies win government funding with AI
Vetnio,https://vetnio.com/,Winter 2025,AI,6,,AI Copilot that automates admin work for veterinary professionals
Tweeks.io,https://tweeks.io,Winter 2025,AI,2,,Lovable for Chrome Plugins
Praxim,https://www.praxim.ai/,Winter 2025,AI,2,,The agentic AI Word editor
Alice.tech,https://www.alice.tech/,Winter 2025,AI,5,,AI-driven exam prep
Dartboard,https://dartboard.ai,Winter 2025,AI,2,,AI-native remote operations center for hardware fleets
Vocality Health,https://www.vocalityhealth.com,Winter 2025,AI,2,,Voice AI for medical language translation
Truffle AI,https://www.trytruffle.ai/,Winter 2025,AI/DevTools,2,,AWS for AI Agents
Elip AI,https://www.tryelip.ai/,Winter 2025,AI,4,,Cooking something sweet and salty! 
Caseflood.ai,https://caseflood.ai,Winter 2025,AI,2,,How elite law firms do intake
Maive,https://maive.ai,Winter 2025,AI,2,,AI for Home Services
Swerve,https://www.getswerve.com/,Winter 2025,AI,2,,Chat with AI Characters
Mecha Health,https://www.mecha-health.ai/,Winter 2025,AI/ML,4,,Foundation models to automate x-ray analysis for radiologists
Cuckoo Labs,https://www.cuckoo.so/,Winter 2025,AI,2,,Real-time AI translator for global sales and marketing
Olive,https://fromolive.com,Winter 2025,AI,2,,
Gale,https://galevisa.com,Winter 2025,AI,3,,Fast and Data-Driven Immigration Platform
Asteroid,https://asteroid.ai,Winter 2025,AI,8,,"The integration layer for healthcare: EHRs, payer portals & more "
Pickle,https://www.pickle.com,Winter 2025,AI,15,,Where your life context becomes understanding.
Harbera,https://harbera.com/,Winter 2025,AI,2,,AI Healthcare Provider Credentialing Software
Lopus,https://lopus.ai,Winter 2025,AI,2,,Headless Data Team
Mundo AI,https://mundoai.world,Winter 2025,AI/ML,30,,High Quality Multilingual Training Data for AI Models
Lucidic AI,https://lucidic.ai,Winter 2025,AI/DevTools,,,Reimagining how Machines Learn 
Exla,https://exla.ai/,Winter 2025,AI,2,,Building agents that reads logs and fixes issues on your behalf.
Outlit,https://outlit.ai/,Winter 2025,AI,3,,Retain and Grow Every Customer
Sennu AI,https://www.sennu.ai,Winter 2025,AI,2,,We turn traditional companies into AI companies
Mastra,https://mastra.ai,Winter 2025,AI/DevTools,30,,"The Javascript framework for building AI agents, from the Gatsby devs"
Proception Inc,https://proception.ai/,Winter 2025,AI,10,,Making humanoids dexterous enough to thread a needle
CopyCat,https://runcopycat.com,Winter 2025,AI,2,,AI agents built for insurance brokers
TamLabs,https://tamlabs.ai,Winter 2025,AI,2,,Agent teams for complex work
Golf,https://golf.dev/,Spring 2025,AI/DevTools,1,,Agentic AI Security and Governance
Serafis,https://serafis.ai,Summer 2025,AI,4,,Narrative intelligence for investors
neoncoral,http://neoncoral.inc,Spring 2025,AI,1,,
Acolite,https://acolite.ai,Spring 2025,AI,3,,AI Native Commercial Insurance Broker
Feyn,https://www.usefeyn.com,Spring 2025,AI/DevTools,3,,Custom models trained on your data
Zeon Systems,https://www.zeonsystems.ai/,Spring 2025,AI,5,,AI-powered robotics for scientific lab automation.
Clarm,https://www.clarm.com,Spring 2025,AI,2,,"Build governed AI agents on your own data, without code"
Hanji,https://hanji.dev/,Spring 2025,AI/DevTools,4,,Turn your hardest documents into reliable data
Kestral,https://kestral.ai,Spring 2025,AI,3,,We automate your entire product development lifecycle.
Tinfoil,https://tinfoil.sh,Spring 2025,AI/DevTools,5,,Encrypted AI with verifiable privacy
Tegore,https://tegore.ai/,Spring 2025,AI,1,,Your new AI-powered math tutor.
Anana,https://getanana.com,Spring 2025,AI,2,,AI Workspace for Hospitality Commercial Teams
IRBC,https://irbc.com/,Spring 2025,AI,3,,AI-native financial institution for global businesses + agents.
Theta,https://thetasoftware.com,Spring 2025,AI,7,,Specialized AI for Every Job
Human Behavior,https://www.humanbehavior.co/,Spring 2025,AI/DevTools,3,,Understand your users beyond the numbers
Cartpole,https://cartpole.com,Spring 2025,AI,2,,Building reinforcement learning environments
Boost Robotics,https://www.boostrobotics.ai,Spring 2025,AI,2,,Robots for the inspection and maintenance of data centers
Cactus Compute,https://www.cactuscompute.com/,Summer 2025,AI/DevTools,8,,Tiny Edge AI For Tiny Devices
Bramante,https://www.bramantebio.com,Spring 2025,AI,2,,Life sciences reagents and software
Orchid,https://orchid.ai,Spring 2025,AI,3,,A personal EA in your iMessage
Kairos,https://www.withkairos.co/,Spring 2025,AI/ML,3,,Specialized AI for Critical Industries
Mesmer,https://mesmer.co,Spring 2025,AI,7,,The operating system for the 100x Engineering Team
Moby Analytics,https://www.mobyanalytics.com/,Spring 2025,AI,4,,AI financial auditors
Cactus,https://oncactus.com,Spring 2025,AI,2,,All-In-One AI Growth Partner. Built for Trades.
Wavedash,https://wavedash.com,Spring 2025,AI,3,,Play the latest games in your browser with no downloads
StarSling,https://starsling.dev/,Spring 2025,AI/DevTools,3,,Self-Driving CI: fast AI-native GitHub Actions runners
Blueshoe,https://blueshoe.com,Spring 2025,AI,2,,The AI-Native Consumer + Plaintiff Law Firm
Docket,https://docketqa.com,Spring 2025,AI/DevTools,2,,AI agents for web testing
Meteor,https://browse.dev,Summer 2025,AI,2,,An AI-Native Browser
Closera,https://closera.com,Summer 2025,AI,2,,AI Shopping Agent for Your Ecommerce Store
Datafruit,https://datafruit.ai/,Summer 2025,AI,2,,The AI workspace for software implementations
Lark,https://getlark.ai/,Summer 2025,AI/DevTools,5,,The E2E testing layer for AI-driven development
Design Arena,https://www.designarena.ai/,Summer 2025,AI,3,,World's largest crowdsourced benchmark for AI-generated design
Lotas,https://www.lotas.ai,Summer 2025,AI/DevTools,2,,AI for quantitative trading
Monarcha,https://monarcha.ai,Summer 2025,AI,2,,Turn maps into data
Cyberdesk,https://www.cyberdesk.io,Summer 2025,AI/DevTools,2,,Self learning computer use agent for developers
Frizzle,https://www.frizzle.com,Summer 2025,AI,2,,AI Grading for Teachers
Nori,https://nori.ai,Fall 2025,AI,3,,AI health coach in your pocket
Magnitude,https://magnitude.dev,Summer 2025,AI/DevTools,2,,Open source inference server for local models
Stellon Labs,https://stellonlabs.com/,Summer 2025,AI,2,,Building tiny frontier AI models that run on edge devices
Doe,https://doe.so/,Summer 2025,AI,4,,"The boring stuff, handled. Everything else, supercharged."
Embedder,https://www.embedder.com,Summer 2025,AI/DevTools,6,,Hardware-Aware AI for Embedded Software Development
Normal,https://www.normalfactory.com/,Summer 2025,AI,2,,Testing and certifying the hardware of the future
VibeFlow,https://vibeflow.ai/,Summer 2025,AI/DevTools,3,,AI content manager that grows your company's online presence
Mimos,https://www.trymimos.com/,Summer 2025,AI,2,,The growth OS for plaintiff-side law firms
TwentyTwo,https://twentytwo.bio/,Summer 2025,AI,3,,AI infrastructure for biosecurity
Char,https://char.com,Summer 2025,AI,2,,The AI notepad that knows and works for you
Motives,https://motives.ai/,Summer 2025,AI,,,Consumer focus groups run by AI
Autosana,https://autosana.ai,Summer 2025,AI/DevTools,5,,AI agents for E2E testing across mobile & web
Knowlify,https://www.knowlify.com/,Summer 2025,AI,6,,The AI Explainer Video Maker
Omnara,https://omnara.com,Summer 2025,AI/DevTools,4,,The Open-Source Alternative to Claude Managed Agents
Alara,http://alaradental.com,Summer 2025,AI,,,Procurement Platform for Dental Offices
Maximal,https://www.trymaximal.com,Summer 2025,AI,3,,Truckload Planning at Machine Precision
PARES AI,https://www.pares.ai/,Summer 2025,AI,3,,AI-native real estate services firm
Altur,https://altur.io,Summer 2025,AI,5,,Voice AI Agents for Debt Collection
Pleom,https://pleom.com,Summer 2025,AI,,,Agentic Business Intelligence
Pally,https://pally.com,Summer 2025,AI,2,,Your personal AI Assistant
Certus AI,https://www.certus-ai.com/,Summer 2025,AI,8,,Replacing the restaurant phone line with Voice AI
KERNEL,https://www.kernel.sh,Summer 2025,AI/DevTools,22,,"Crazy fast, open source infra for AI agents to use the Internet"
CLODO,https://clodo.ai,Summer 2025,AI,2,,Planet-scale people discovery.
Modelence,https://modelence.com,Summer 2025,AI/DevTools,3,,Build production-ready apps with AI
TectoAI,https://www.tecto.ai/,Summer 2025,AI,2,,A Platform for AI Governance
RowFlow,https://rowflow.ai,Summer 2025,AI,2,,Replacing forms with AI conversations
Paloma,https://getpaloma.ai/,Summer 2025,AI,3,,Digital transformation for real economy businesses
Mixy,https://usemixy.com,Fall 2025,AI,2,,Make mashups without knowing how to DJ
Lapis,https://www.trylapis.com/,Fall 2025,AI,5,,"AI that creates and runs ads, end-end"
Zavo,https://zavopay.com,Fall 2025,AI,8,,AI Operating System for Restaurants 
Nexus,https://agent.nexus,Fall 2025,AI,2,,We help non-technical teams build AI agents without engineers
Scoop,https://scooplabs.ai,Fall 2025,AI,2,,Automating regulatory submissions for life sciences
Caddy,https://caddy.app/,Fall 2025,AI,5,,Your Personal AI for everyday work. Lives in your texts.
Tell if AI,https://tellif.ai,Fall 2025,AI,2,,"AI agents on real phones, growing brands across every platform."
SellRaze,https://sellraze.com,Fall 2025,AI,6,,The fastest way to sell online.
LogosGuard,https://logosguard.com/,Fall 2025,AI,2,,The sensitive data redaction layer for AI
Aleph Lab,http://alephlab.ai/,Fall 2025,AI,2,,AI language buddy in the games kids love
Helonic,https://helonic.com,Fall 2025,AI,2,,Automatic Construction Drawing Clash Detection 
Compyle,https://compyle.ai,Fall 2025,AI/DevTools,2,,The coding agent that actually collaborates with you
Radius,https://www.radiusbrowser.com,Fall 2025,AI/DevTools,2,,Code and browse in the same place
Cortex AI,https://cortexrobot.ai/,Fall 2025,AI,3,,Large-scale real-world robot & human data for embodied AI
Patent Watch,https://www.patentwatch.ai/,Fall 2025,AI,6,,AI for detecting patent infringements
Anto Biosciences,https://www.anto.bio/,Fall 2025,AI,4,,A Foundation Model for Microbial Communities.
Philon,https://philon.ai/,Fall 2025,AI,,,General Purpose Robots
Relaw,https://www.relaw.ai,Fall 2025,AI,2,,AI Legal OS
Perseus,https://perseus.computer,Fall 2025,AI,4,,Applied Lab focused on Search in Latent Spaces.
Boom AI,https://useboom.ai,Fall 2025,AI,3,,AI agents that recover lost revenue through real conversations.
Axial,https://axialcompute.com,Fall 2025,AI,1,,Accelerated Physics Kernels for Computational Engineering
Openroll,https://www.openroll.com,Fall 2025,AI,4,,The AI workforce for People and Finance teams
Rivet,https://rivet.design/,Fall 2025,AI,,,Explore dozens of design directions with your agent
Bezel,https://www.trybezel.com/,Winter 2025,ML,1,,Digital AI humans that model clothes for e-commerce brands.
Kashikoi,https://www.getkashikoi.com,Spring 2025,ML/DevTools,2,,Simulation Engine for Benchmarking AI Products
The Robot Learning Company,https://www.robot-learning.co/,Spring 2025,ML,1,,Tools for the next era of physical automation.
mlop,https://mlop.ai,Spring 2025,ML/DevTools,2,,Experiment tracking for training ML models
Lilac,https://getlilac.com,Summer 2025,ML,4,,We sell GPUs.
Spotlight Realty,https://www.spotlight.realty,Summer 2025,ML,4,,AI powered brokerage reducing residential rental commissions in NYC…
Amika,https://www.amika.dev/,Fall 2025,ML,2,,Infra to build your own software factory
ReJot,https://rejot.dev,Winter 2025,DevTools,2,,We turn complex API integrations into drop‑in full‑stack libraries 
Corsair,https://www.corsair.dev,Winter 2025,DevTools,2,,OpenRouter for Integrations
TrainLoop,http://trainloop.ai,Winter 2025,DevTools,6,,Reasoning Fine-Tuning
assistant-ui,https://assistant-ui.com,Winter 2025,DevTools,3,,Open Source React.js Library for AI Chat
BlindPay,https://blindpay.com/,Winter 2025,DevTools,9,,Stablecoin API for global payments
Capacitive,https://capacitive.ai/,Spring 2025,DevTools,2,,The data gateway for agents.
HelixDB,https://helix-db.com,Spring 2025,DevTools,6,,The fastest & most scalable graph-vector database on the market
Better Auth,https://better-auth.com/,Spring 2025,DevTools,4,,The authentication framework for TypeScript
Chiron,https://projectchiron.org,Spring 2025,DevTools,2,,Grammarly for Math ✏️
Clidey,https://clidey.com,Spring 2025,DevTools,5,,Turn scattered data into one platform for decision-making
Prism,https://herm.run,Spring 2025,DevTools,3,,Deploy AI Agents with a Single API Call
ParaQuery,https://paraquery.com,Spring 2025,DevTools,1,,Managed GPU-accelerated Spark + SQL at 2x speed and half the cost
args,https://args.io/,Summer 2025,DevTools,2,,A better GItHub
Alter,https://alterauth.com,Summer 2025,DevTools,2,,Secure access control and authorization platform for agent workflows
Notte,https://www.notte.cc/,Summer 2025,DevTools,5,,Reliable Web Agents for Enterprise
Okibi,https://okibi.ai,Summer 2025,DevTools,2,,Turns products into CLIs and agents into customers
Parse,https://parse.bot,Fall 2025,DevTools,4,,Build an API to interact with any website.
The Context Company,https://www.thecontextcompany.com,Fall 2025,DevTools,2,,Find what's losing you customers and money in your AI agent and fix it
dari.dev,https://dari.dev,Fall 2025,DevTools,2,,The Routing Layer for AI Agents
Kestrel AI,https://usekestrel.ai/,Fall 2025,DevTools,2,,AI Agents for Platform Engineering
s2.dev,https://s2.dev,Fall 2025,DevTools,5,,"API for unlimited, durable, real-time streams"
Specific,https://specific.dev,Fall 2025,DevTools,2,,The cloud platform built for coding agents
Fastshot,https://www.fastshot.ai/,Fall 2025,DevTools,3,,Lovable for mobile apps
Coasts,https://coasts.dev,Fall 2025,DevTools,2,,Localhost service isolation and orchestration for git worktrees
Gumloop,https://www.gumloop.com/,Winter 2024,AI,44,,"The multiplayer AI agent builder. Let anyone build, IT controls access"
Greptile,https://www.greptile.com,Winter 2024,AI/DevTools,35,,AI code review agent with complete context of your codebase
Happenstance,https://happenstance.ai,Winter 2024,AI,3,,People search powered by AI
Pretzel AI,https://withpretzel.com,Winter 2024,AI,2,,AI tooling
nCompass Technologies,https://www.ncompass.tech,Winter 2024,AI/DevTools,3,,Optimize performance on GPUs - 10x faster
Keystroke,http://keystroke.ai,Winter 2024,AI/DevTools,4,,An all-in-one platform for building internal agents & workflows
Agentic Labs,https://agenticlabs.com,Winter 2024,AI/DevTools,2,,AI system design tools for dev teams
Basalt,https://basalt.space/,Winter 2024,AI,6,,Constellations as a Service
Breez Labs,https://www.breezlabs.com/,Winter 2024,AI,2,,Helping Companies Deploy Email Agents in High Trust Domains
Eggnog,https://www.eggnog.ai,Winter 2024,AI,1,,Fun with AI video
Ecliptor,https://ecliptor.ai,Winter 2024,AI,2,,AI and Embeddings. 
Panelytic,https://panelytic.com/,Winter 2024,AI,2,,Payment infrastructure for machines
Attunement,http://attunement.ai,Winter 2024,AI,3,,Attunement turns fragmented behavioral health records into structured…
Guide Labs,https://www.guidelabs.ai/,Winter 2024,AI,6,,"Frontier models and agents you can learn from, audit, and steer."
Polished,https://polished.ad,Winter 2024,AI/DevTools,,,Generate ads. Iterate till perfect.
LemonSlice,https://www.lemonslice.com,Winter 2024,AI,8,,Give your voice agents a face
Decipher AI,https://getdecipher.com,Winter 2024,AI/DevTools,4,,QA agents that write tests 10x faster with zero maintenance
PandasAI,https://pandas-ai.com,Winter 2024,AI,3,,PandasAI is an open-source conversational data analysis platform with…
Parallel,https://www.beparallel.com/?utm_source=ycombinator&utm_medium=directory,Winter 2024,AI,15,,AI agents for healthcare admin
Fuse,http://www.fuseinsight.com,Summer 2024,AI,3,,AI-powered workflow automation for US healthcare providers.
Feldy,https://feldy.ai,Winter 2024,AI,8,,Field-First AI for home services
Solari AI,https://www.usesolari.ai/,Winter 2024,AI,1,,Gives non-technical team members agents that work right out of the box
Superagent,https://superagent.sh/,Winter 2024,AI,2,,Security for AI-native developers
Overeasy,https://overeasy.sh/,Summer 2024,AI,2,,
EdgeTrace,https://edgetrace.ai,Winter 2024,AI,2,,Describe It. Find It. Act On It.
